2026-06-20 10:45:16 | INFO     | project_settings          | get_settings         | Using DEFAULT_AGENT_SETTINGS (no project loaded yet)
2026-06-20 10:45:16 | INFO     | project_settings          | get_settings         | Using DEFAULT_AGENT_SETTINGS (no project loaded yet)
2026-06-20 10:45:16 | INFO     | logging_config            | setup_logging        | Logging configured - File: /app/logs/agent.log
2026-06-20 10:45:16 | INFO     | logging_config            | setup_logging        |   Module log: cypherfix_codefix -> /app/cypherfix_codefix/logs/codefix.log
2026-06-20 10:45:16 | INFO     | logging_config            | setup_logging        |   Module log: cypherfix_triage -> /app/cypherfix_triage/logs/triage.log
2026-06-20 10:45:16 | INFO     | project_settings          | get_settings         | Using DEFAULT_AGENT_SETTINGS (no project loaded yet)
2026-06-20 10:45:16 | INFO     | logging_config            | setup_logging        | Max file size: 10.0 MB, Backup count: 5
2026-06-20 10:45:16 | INFO     | api                       | lifespan             | Starting RedAmon Agent API...
2026-06-20 10:45:16 | INFO     | orchestrator              | initialize           | Initializing AgentOrchestrator...
2026-06-20 10:45:16 | INFO     | tools                     | get_tools            | Connecting to MCP servers...
2026-06-20 10:45:16 | INFO     | tools                     | get_tools            | Connecting to MCP network_recon (sse) -> http://kali-sandbox:8000/sse
2026-06-20 10:45:16 | INFO     | tools                     | get_tools            | Connecting to MCP nmap (sse) -> http://kali-sandbox:8004/sse
2026-06-20 10:45:16 | INFO     | tools                     | get_tools            | Connecting to MCP metasploit (sse) -> http://kali-sandbox:8003/sse
2026-06-20 10:45:16 | INFO     | tools                     | get_tools            | Connecting to MCP nuclei (sse) -> http://kali-sandbox:8002/sse
2026-06-20 10:45:16 | INFO     | tools                     | get_tools            | Connecting to MCP playwright (sse) -> http://kali-sandbox:8005/sse
2026-06-20 10:45:16 | WARNING  | tools                     | get_tools            | MCP connection attempt 1/5 failed: unhandled errors in a TaskGroup (1 sub-exception). Retrying in 10s...
2026-06-20 10:45:26 | WARNING  | tools                     | get_tools            | MCP connection attempt 2/5 failed: unhandled errors in a TaskGroup (1 sub-exception). Retrying in 20s...
2026-06-20 10:45:46 | WARNING  | tools                     | get_tools            | MCP connection attempt 3/5 failed: unhandled errors in a TaskGroup (1 sub-exception). Retrying in 30s...
2026-06-20 10:46:16 | WARNING  | tools                     | get_tools            | MCP connection attempt 4/5 failed: unhandled errors in a TaskGroup (1 sub-exception). Retrying in 40s...
2026-06-20 10:46:57 | ERROR    | tools                     | get_tools            | Failed to connect to MCP servers after 5 attempts: unhandled errors in a TaskGroup (1 sub-exception)
2026-06-20 10:46:57 | WARNING  | tools                     | get_tools            | Continuing without MCP tools
2026-06-20 10:46:57 | INFO     | tools                     | get_tool             | Setting up Neo4j connection to bolt://neo4j:7687
2026-06-20 10:46:57 | ERROR    | tools                     | get_tool             | Failed to set up Neo4j: Could not connect to Neo4j database. Please ensure that the url is correct
2026-06-20 10:46:57 | WARNING  | tools                     | get_tool             | Continuing without graph query tool
2026-06-20 10:46:57 | INFO     | orchestrator              | _setup_knowledge_base | KB_ENABLED=false — skipping knowledge base setup
2026-06-20 10:46:57 | WARNING  | tools                     | get_tool             | Neither Tavily API key nor knowledge base configured — web_search tool will not be available.
2026-06-20 10:46:57 | WARNING  | tools                     | get_tool             | Shodan API key not configured - shodan tool will not be available. Set it in Global Settings (http://localhost:3000/settings).
2026-06-20 10:46:57 | WARNING  | tools                     | get_tool             | SerpAPI key not configured - google_dork tool will not be available. Set it in Global Settings (http://localhost:3000/settings).
2026-06-20 10:46:57 | INFO     | orchestrator              | _setup_tools         | Tools initialized: 0 available
2026-06-20 10:46:57 | INFO     | project_settings          | get_settings         | Using DEFAULT_AGENT_SETTINGS (no project loaded yet)
2026-06-20 10:46:57 | INFO     | project_settings          | get_settings         | Using DEFAULT_AGENT_SETTINGS (no project loaded yet)
2026-06-20 10:46:57 | INFO     | orchestrator              | _setup_checkpointer  | Using AsyncPostgresSaver for persistent checkpointing
2026-06-20 10:46:57 | INFO     | orchestrator              | _build_graph         | Building ReAct LangGraph...
2026-06-20 10:46:57 | INFO     | orchestrator              | _build_graph         | ReAct LangGraph compiled with checkpointer
2026-06-20 10:46:57 | INFO     | orchestrator              | recover_orphaned_fireteams | recover_orphaned_fireteams: stale fireteams and members marked cancelled
2026-06-20 10:46:57 | INFO     | orchestrator              | initialize           | AgentOrchestrator initialized (LLM deferred until project settings loaded)
2026-06-20 10:46:57 | INFO     | api                       | lifespan             | RedAmon Agent API ready (WebSocket)
